username,repo_name,stars,repo_url
public-apis,public-apis,182000,https://github.com/public-apis/public-apis
neovim,neovim,51200,https://github.com/neovim/neovim
strapi,strapi,43400,https://github.com/strapi/strapi
tiangolo,fastapi,42500,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,37600,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,33700,https://github.com/slatedocs/slate
hasura,graphql-engine,26000,https://github.com/hasura/graphql-engine
YMFE,yapi,23600,https://github.com/YMFE/yapi
ccxt,ccxt,23500,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,23000,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,22900,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22000,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20800,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20100,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,19900,https://github.com/Kong/insomnia
microsoft,api-guidelines,18700,https://github.com/microsoft/api-guidelines
pubkey,rxdb,17100,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,16900,https://github.com/shieldfy/API-Security-Checklist
directus,directus,14100,https://github.com/directus/directus
ChainSafe,web3.js,13800,https://github.com/ChainSafe/web3.js
learn-anything,learn-anything,13700,https://github.com/learn-anything/learn-anything
youfou,wxpy,13200,https://github.com/youfou/wxpy
jsdoc,jsdoc,12700,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12500,https://github.com/BrainJS/brain.js
fangzesheng,free-api,11900,https://github.com/fangzesheng/free-api
OpenAPITools,openapi-generator,11400,https://github.com/OpenAPITools/openapi-generator
graphile,postgraphile,11100,https://github.com/graphile/postgraphile
go-chi,chi,11000,https://github.com/go-chi/chi
postmanlabs,httpbin,10600,https://github.com/postmanlabs/httpbin
star7th,showdoc,10300,https://github.com/star7th/showdoc
