username,repo_name,stars,repo_url
metafizzy,infinite-scroll,7000,https://github.com/metafizzy/infinite-scroll
ljianshu,Blog,7000,https://github.com/ljianshu/Blog
developit,unfetch,5300,https://github.com/developit/unfetch
jquery-form,form,5100,https://github.com/jquery-form/form
olifolkerd,tabulator,4400,https://github.com/olifolkerd/tabulator
Studio-42,elFinder,4200,https://github.com/Studio-42/elFinder
ded,reqwest,2900,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2800,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
elbywan,wretch,2300,https://github.com/elbywan/wretch
noelboss,featherlight,2000,https://github.com/noelboss/featherlight
wendux,Ajax-hook,2000,https://github.com/wendux/Ajax-hook
yisainan,web-interview,1900,https://github.com/yisainan/web-interview
craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1600,https://github.com/ptaoussanis/sente
joaomilho,Enterprise,1500,https://github.com/joaomilho/Enterprise
nette,tracy,1500,https://github.com/nette/tracy
u014427391,jeeplatform,1300,https://github.com/u014427391/jeeplatform
loadingio,css-spinner,1300,https://github.com/loadingio/css-spinner
MoOx,pjax,1300,https://github.com/MoOx/pjax
codingforentrepreneurs,eCommerce,1200,https://github.com/codingforentrepreneurs/eCommerce
danielm,uploader,1100,https://github.com/danielm/uploader
renderedtext,render_async,1000,https://github.com/renderedtext/render_async
swlib,saber,945,https://github.com/swlib/saber
proyecto26,RestClient,871,https://github.com/proyecto26/RestClient
k8w,tsrpc,848,https://github.com/k8w/tsrpc
opensource-socialnetwork,opensource-socialnetwork,844,https://github.com/opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,843,https://github.com/webcreate/infinite-ajax-scroll
rapidjs,rapid.js,709,https://github.com/rapidjs/rapid.js
csxiaoyaojianxian,JavaScriptStudy,597,https://github.com/csxiaoyaojianxian/JavaScriptStudy
