username,repo_name,stars,repo_url
sindresorhus,awesome,191000,https://github.com/sindresorhus/awesome
vinta,awesome-python,118000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,78700,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,76100,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,61300,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,53300,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,52800,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,49600,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,47900,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,45300,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,43900,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,42200,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,39600,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,39400,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,39000,https://github.com/vsouza/awesome-ios
MunGell,awesome-for-beginners,38900,https://github.com/MunGell/awesome-for-beginners
binhnguyennus,awesome-scalability,37500,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,36100,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,33900,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,33200,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,31500,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,29600,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,29500,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,29100,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26300,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25600,https://github.com/herrbischoff/awesome-macos-command-line
rust-unofficial,awesome-rust,24500,https://github.com/rust-unofficial/awesome-rust
goabstract,Awesome-Design-Tools,24000,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,23000,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22400,https://github.com/sindresorhus/awesome-electron
