username,repo_name,stars,repo_url
Genymobile,scrcpy,61900,https://github.com/Genymobile/scrcpy
neovim,neovim,51200,https://github.com/neovim/neovim
git,git,41200,https://github.com/git/git
obsproject,obs-studio,36600,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,36100,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,29600,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,28400,https://github.com/FFmpeg/FFmpeg
vim,vim,26300,https://github.com/vim/vim
curl,curl,23800,https://github.com/curl/curl
ggreer,the_silver_searcher,23300,https://github.com/ggreer/the_silver_searcher
huihut,interview,22700,https://github.com/huihut/interview
ruby,ruby,18900,https://github.com/ruby/ruby
mpv-player,mpv,18000,https://github.com/mpv-player/mpv
google,flatbuffers,17500,https://github.com/google/flatbuffers
pbatard,rufus,17500,https://github.com/pbatard/rufus
ossrs,srs,17300,https://github.com/ossrs/srs
oracle,graal,16600,https://github.com/oracle/graal
radareorg,radare2,15900,https://github.com/radareorg/radare2
microsoft,vcpkg,15000,https://github.com/microsoft/vcpkg
shadowsocks,shadowsocks-libev,14800,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,14400,https://github.com/allinurl/goaccess
kovidgoyal,kitty,13800,https://github.com/kovidgoyal/kitty
jarun,nnn,13600,https://github.com/jarun/nnn
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
facebook,infer,13000,https://github.com/facebook/infer
TheAlgorithms,C,12500,https://github.com/TheAlgorithms/C
CoatiSoftware,Sourcetrail,12500,https://github.com/CoatiSoftware/Sourcetrail
hashcat,hashcat,11800,https://github.com/hashcat/hashcat
qmk,qmk_firmware,11700,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11200,https://github.com/s-matyukevich/raspberry-pi-os
