username,repo_name,stars,repo_url
vercel,next.js,82200,https://github.com/vercel/next.js
rust-lang,rust,64000,https://github.com/rust-lang/rust
webpack,webpack,60600,https://github.com/webpack/webpack
sveltejs,svelte,56300,https://github.com/sveltejs/svelte
gatsbyjs,gatsby,52400,https://github.com/gatsbyjs/gatsby
babel,babel,40500,https://github.com/babel/babel
JetBrains,kotlin,40500,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,40300,https://github.com/parcel-bundler/parcel
evanw,esbuild,30800,https://github.com/evanw/esbuild
vlang,v,27100,https://github.com/vlang/v
markedjs,marked,27100,https://github.com/markedjs/marked
swc-project,swc,20700,https://github.com/swc-project/swc
vercel,pkg,19800,https://github.com/vercel/pkg
v8,v8,19200,https://github.com/v8/v8
AssemblyScript,assemblyscript,13600,https://github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12800,https://github.com/Konloch/bytecode-viewer
ziglang,zig,12700,https://github.com/ziglang/zig
nim-lang,Nim,12600,https://github.com/nim-lang/Nim
gopherjs,gopherjs,10900,https://github.com/gopherjs/gopherjs
RustPython,RustPython,10600,https://github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,10300,https://github.com/compiler-explorer/compiler-explorer
goplus,gop,7900,https://github.com/goplus/gop
apache,tvm,7800,https://github.com/apache/tvm
numba,numba,7300,https://github.com/numba/numba
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
elm,compiler,6800,https://github.com/elm/compiler
aalhour,awesome-compilers,6500,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,6500,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,6100,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5700,https://github.com/rescript-lang/rescript-compiler
